,file_id,let_id,recipient,place,word_count,avg_sent_length,year,to_theo,avg_sentiment,num_sent,perc_neg,perc_pos,cluster,pca1,pca2
572,353_03,353,Theo van Gogh,The Hague,1228,23.19298245614035,1883,1,0.27754193548387096,57,0.14035087719298245,0.40350877192982454,1,-3.8305676,0.61602277
573,014_02,014,Willem and Caroline van Stockum-Haanebeek,London,858,18.387755102040817,1873,0,0.35005588235294116,49,0.12244897959183673,0.5714285714285714,1,-3.2905571,0.8079953
574,328_02,328,Michiel Antoine de Zwart,The Hague,76,10.125,1883,0,0.34696,8,0.0,0.625,2,22.570631,30.586243
575,898_03,898,Theo van Gogh and Jo van Gogh-Bonger,Auvers-sur-Oise,472,24.857142857142858,1890,1,0.08163888888888887,21,0.38095238095238093,0.47619047619047616,1,-9.442084,-5.7272964
576,435_010,435,Anthon van Rappard,Nuenen,2345,25.86315789473684,1884,0,0.1518101449275362,95,0.2631578947368421,0.4631578947368421,2,-0.19177115,12.453863
577,545_01,545,Theo van Gogh,Antwerp,1304,20.0,1885,1,0.2140106382978723,71,0.19718309859154928,0.4647887323943662,2,19.109196,1.8678054
578,537_08,537,Theo van Gogh,Nuenen,1730,22.289156626506024,1885,1,0.334955,83,0.1566265060240964,0.5662650602409639,1,-3.3551474,-11.218166
579,316_04,316,Theo van Gogh,The Hague,1052,19.928571428571427,1883,1,0.32149268292682925,56,0.14285714285714285,0.5892857142857143,2,10.818522,6.2390656
580,244_03,244,Theo van Gogh,The Hague,3195,26.484615384615385,1882,1,0.18898514851485151,130,0.24615384615384617,0.5307692307692308,2,7.35758,2.914246
581,527_04,527,Theo van Gogh,Nuenen,1363,22.446153846153845,1885,1,0.09293809523809526,65,0.2923076923076923,0.35384615384615387,1,-8.487472,-10.22529
582,321_03,321,Anthon van Rappard,The Hague,774,19.372093023255815,1883,0,0.39105882352941174,43,0.09302325581395349,0.6976744186046512,1,-8.691769,0.83708555
583,195_01,195,Anthon van Rappard,The Hague,448,20.0,1881,0,-0.024894444444444455,24,0.3333333333333333,0.4166666666666667,1,-11.961552,-9.205523
584,180_02,180,Theo van Gogh,Etten,1836,21.8876404494382,1881,1,0.24490632911392404,89,0.3146067415730337,0.5730337078651685,2,16.220314,6.0456686
585,878_04,878,Anna van Gogh-Carbentus,Auvers-sur-Oise,672,21.575757575757574,1890,0,0.38961666666666667,33,0.09090909090909091,0.6363636363636364,1,-3.264272,-6.370132
586,269_03,269,Theo van Gogh,The Hague,1101,22.884615384615383,1882,1,0.27671794871794875,52,0.17307692307692307,0.5769230769230769,2,9.684786,-4.209995
587,271_01,271,Theo van Gogh,The Hague,361,18.0,1882,1,0.43928571428571433,22,0.09090909090909091,0.5454545454545454,1,-10.470596,-0.43328452
588,002_01,002,Theo van Gogh,The Hague,145,14.363636363636363,1872,1,0.5602625,11,0.0,0.7272727272727273,0,-16.7212,2.519578
589,550_05,550,Theo van Gogh,Antwerp,2264,23.826923076923077,1885,1,0.3627608695652173,104,0.11538461538461539,0.5480769230769231,2,9.939681,6.4516907
590,199_06,199,Theo van Gogh,The Hague,2657,26.40740740740741,1882,1,0.14402592592592592,108,0.2777777777777778,0.4722222222222222,2,9.243787,-0.5789688
591,748_01,748,Theo van Gogh,Arles,794,18.622222222222224,1889,1,0.29676774193548383,45,0.17777777777777778,0.5111111111111111,1,-9.94493,-6.058275
592,534_02,534,Theo van Gogh,Nuenen,1717,21.74418604651163,1885,1,0.3290461538461539,86,0.09302325581395349,0.5116279069767442,1,-7.7813334,-8.369262
593,442_03,442,Theo van Gogh,Nuenen,1080,36.5625,1884,1,0.2937772727272728,32,0.15625,0.53125,1,-10.393921,-6.374025
594,450_03,450,Theo van Gogh,Nuenen,1367,23.83606557377049,1884,1,0.2900391304347826,61,0.18032786885245902,0.5737704918032787,1,-12.184222,-2.0330606
595,808_01,808,Theo van Gogh,Saint-Rémy-de-Provence,927,23.5,1889,1,0.2822935483870968,42,0.19047619047619047,0.5476190476190477,2,19.54404,6.228268
596,703_02,703,Theo van Gogh,Arles,752,13.706896551724139,1888,1,0.1963,58,0.1896551724137931,0.41379310344827586,0,-13.320579,0.9858418
597,322_02,322,Theo van Gogh,The Hague,1120,20.389830508474578,1883,1,0.2508222222222222,59,0.1694915254237288,0.4406779661016949,2,2.3616624,10.607113
598,850_01,850,Theo van Gogh,Saint-Rémy-de-Provence,1458,25.258064516129032,1890,1,0.4199019230769231,62,0.12903225806451613,0.7096774193548387,2,14.995957,-7.7082505
599,535_09,535,Theo van Gogh,Nuenen,1822,20.78125,1885,1,0.13296875,96,0.25,0.4166666666666667,1,-3.2024395,-12.139256
600,507_04,507,Theo van Gogh,Nuenen,1022,22.64,1885,1,0.25294285714285714,50,0.16,0.54,1,8.5405245,-15.24751
601,572_03,572,Theo van Gogh,Paris,665,20.88235294117647,1887,1,0.29203333333333337,34,0.23529411764705882,0.6470588235294118,1,-9.311115,-2.9990857
602,506_08,506,Theo van Gogh,Nuenen,2163,21.24074074074074,1885,1,0.20278030303030303,108,0.2037037037037037,0.4074074074074074,1,-1.0601442,-13.283477
603,143_04,143,Theo van Gogh,Amsterdam,1998,40.88,1878,1,0.4458183673469388,50,0.2,0.78,2,23.151552,-0.9110653
604,217_04,217,Theo van Gogh,The Hague,982,25.585365853658537,1882,1,0.2841666666666667,41,0.17073170731707318,0.5609756097560976,2,23.701895,-3.2656841
605,445_02,445,Theo van Gogh,Nuenen,321,19.333333333333332,1884,1,0.40417000000000003,18,0.05555555555555555,0.5,1,-14.795741,-1.5594523
606,139_02,139,Theo van Gogh,Amsterdam,876,29.0,1878,1,0.4719279999999999,32,0.125,0.65625,2,9.238636,3.7020292
607,748_02,748,Theo van Gogh,Arles,794,18.622222222222224,1889,1,0.29676774193548383,45,0.17777777777777778,0.5111111111111111,1,-9.735453,-1.8526238
608,469_04,469,Theo van Gogh,Nuenen,1227,23.482142857142858,1884,1,0.10587555555555554,56,0.35714285714285715,0.44642857142857145,1,-11.521934,-4.491943
609,605_01,605,Theo van Gogh,Arles,601,16.94736842105263,1888,1,0.259740909090909,38,0.13157894736842105,0.4473684210526316,2,6.9266996,-0.22563143
610,312_02,312,Theo van Gogh,The Hague,2012,25.5,1883,1,0.31646774193548377,84,0.17857142857142858,0.5595238095238095,2,18.703884,6.6619596
611,516_05,516,Anthon van Rappard,Nuenen,1270,25.436363636363637,1885,0,0.28239999999999993,55,0.18181818181818182,0.5272727272727272,1,-15.111717,-5.897085
612,515_010,515,Theo van Gogh,Nuenen,3127,26.858267716535433,1885,1,0.23495333333333335,127,0.1968503937007874,0.5118110236220472,2,13.168182,4.7432194
613,687_05,687,Theo van Gogh,Arles,1582,23.87142857142857,1888,1,0.280065306122449,70,0.21428571428571427,0.4857142857142857,2,13.933702,0.29919893
614,337_01,337,Theo van Gogh,The Hague,1085,20.42105263157895,1883,1,0.2625511627906977,57,0.22807017543859648,0.5263157894736842,1,-5.4310455,-9.007247
615,356_06,356,Theo van Gogh,The Hague,2710,24.394957983193276,1883,1,0.2908918604651163,119,0.17647058823529413,0.5462184873949579,2,16.121037,4.608372
616,624_03,624,Theo van Gogh,Arles,713,21.6,1888,1,0.20797692307692311,35,0.17142857142857143,0.5714285714285714,1,-10.19032,0.48166013
617,620_04,620,Theo van Gogh,Arles,733,21.61111111111111,1888,1,0.20141363636363635,36,0.19444444444444445,0.4166666666666667,2,15.268723,-6.4936943
618,672_01,672,Theo van Gogh,Arles,660,19.13888888888889,1888,1,0.007115384615384601,36,0.3333333333333333,0.3888888888888889,1,-1.7594433,-11.09704
619,210_03,210,Theo van Gogh,The Hague,1327,16.102272727272727,1882,1,0.12061034482758619,88,0.2727272727272727,0.38636363636363635,1,7.0789676,-13.6655035
